[2026-08-15 00:07:40] [SUCCESS] 2016: 15/08/2026 12:07:38 SA: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:17:27] [SUCCESS] 2016: 15/08/2026 12:17:25 SA: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:25:46] [SUCCESS] 2016: 15/08/2026 12:25:44 SA: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:46:45] [SUCCESS] 2016: 15/08/2026 12:46:22 SA: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:20:23] [SUCCESS] 2016: 15/08/2026 10:20:21 CH: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:41:16] [SUCCESS] 2016: 15/08/2026 10:41:15 CH: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:45:09] [SUCCESS] 2016: 15/08/2026 10:45:08 CH: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:53:45] [SUCCESS] 2016: 15/08/2026 10:53:42 CH: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:08:48] [SUCCESS] 2016: 15/08/2026 11:08:47 CH: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:20:40] [SUCCESS] 2016: 15/08/2026 11:20:39 CH: Tổng record đã thêm: 751 | TABLE: CD43_KHACH_HANG_HANH_VI_NGUY_CO | CITY_CODE: ALL | MADUAN:CD43
