[2026-08-15 00:06:21] [SUCCESS] 2013: 15/08/2026 12:06:20 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:07:40] [SUCCESS] 2013: 15/08/2026 12:07:38 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:09:30] [SUCCESS] 2013: 15/08/2026 12:09:29 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:11:30] [SUCCESS] 2013: 15/08/2026 12:11:29 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:13:30] [SUCCESS] 2013: 15/08/2026 12:13:29 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:15:30] [SUCCESS] 2013: 15/08/2026 12:15:29 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:17:30] [SUCCESS] 2013: 15/08/2026 12:17:29 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:19:20] [SUCCESS] 2013: 15/08/2026 12:19:19 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:21:20] [SUCCESS] 2013: 15/08/2026 12:21:19 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:23:20] [SUCCESS] 2013: 15/08/2026 12:23:19 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:26:08] [SUCCESS] 2013: 15/08/2026 12:25:46 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:27:38] [SUCCESS] 2013: 15/08/2026 12:27:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:29:39] [SUCCESS] 2013: 15/08/2026 12:29:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:31:38] [SUCCESS] 2013: 15/08/2026 12:31:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:34:00] [SUCCESS] 2013: 15/08/2026 12:33:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:35:38] [SUCCESS] 2013: 15/08/2026 12:35:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:37:38] [SUCCESS] 2013: 15/08/2026 12:37:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:39:39] [SUCCESS] 2013: 15/08/2026 12:39:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:41:38] [SUCCESS] 2013: 15/08/2026 12:41:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:43:39] [SUCCESS] 2013: 15/08/2026 12:43:37 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:46:22] [SUCCESS] 2013: 15/08/2026 12:46:21 SA: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:20:18] [SUCCESS] 2013: 15/08/2026 10:20:17 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:22:11] [SUCCESS] 2013: 15/08/2026 10:22:09 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:24:11] [SUCCESS] 2013: 15/08/2026 10:24:09 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:26:11] [SUCCESS] 2013: 15/08/2026 10:26:09 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:28:11] [SUCCESS] 2013: 15/08/2026 10:28:09 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:30:11] [SUCCESS] 2013: 15/08/2026 10:30:09 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:32:32] [SUCCESS] 2013: 15/08/2026 10:32:10 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:34:11] [SUCCESS] 2013: 15/08/2026 10:34:09 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:36:11] [SUCCESS] 2013: 15/08/2026 10:36:10 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:38:11] [SUCCESS] 2013: 15/08/2026 10:38:10 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:40:11] [SUCCESS] 2013: 15/08/2026 10:40:09 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:41:11] [SUCCESS] 2013: 15/08/2026 10:41:10 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:43:24] [SUCCESS] 2013: 15/08/2026 10:43:01 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:45:26] [SUCCESS] 2013: 15/08/2026 10:45:04 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:46:57] [SUCCESS] 2013: 15/08/2026 10:46:56 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:48:57] [SUCCESS] 2013: 15/08/2026 10:48:56 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:53:41] [SUCCESS] 2013: 15/08/2026 10:53:39 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:55:55] [SUCCESS] 2013: 15/08/2026 10:55:33 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:57:55] [SUCCESS] 2013: 15/08/2026 10:57:33 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:59:34] [SUCCESS] 2013: 15/08/2026 10:59:33 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:01:34] [SUCCESS] 2013: 15/08/2026 11:01:33 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:03:34] [SUCCESS] 2013: 15/08/2026 11:03:33 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:05:34] [SUCCESS] 2013: 15/08/2026 11:05:33 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:07:34] [SUCCESS] 2013: 15/08/2026 11:07:33 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:08:48] [SUCCESS] 2013: 15/08/2026 11:08:46 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:10:36] [SUCCESS] 2013: 15/08/2026 11:10:35 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:12:37] [SUCCESS] 2013: 15/08/2026 11:12:35 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:14:37] [SUCCESS] 2013: 15/08/2026 11:14:35 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:16:37] [SUCCESS] 2013: 15/08/2026 11:16:35 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:18:37] [SUCCESS] 2013: 15/08/2026 11:18:35 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:20:56] [SUCCESS] 2013: 15/08/2026 11:20:34 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:22:29] [SUCCESS] 2013: 15/08/2026 11:22:28 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:24:29] [SUCCESS] 2013: 15/08/2026 11:24:27 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:26:29] [SUCCESS] 2013: 15/08/2026 11:26:27 CH: Tổng record đã thêm: 755 | TABLE: CD43_KHACH_HANG_SANG_LOC_NUOC_TIEU | CITY_CODE: ALL | MADUAN:CD43
