[2026-08-15 00:07:42] [SUCCESS] 2053: 15/08/2026 12:07:40 SA: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:17:30] [SUCCESS] 2053: 15/08/2026 12:17:29 SA: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:25:48] [SUCCESS] 2053: 15/08/2026 12:25:47 SA: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:46:26] [SUCCESS] 2053: 15/08/2026 12:46:24 SA: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:20:21] [SUCCESS] 2053: 15/08/2026 10:20:20 CH: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:41:15] [SUCCESS] 2053: 15/08/2026 10:41:13 CH: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:45:06] [SUCCESS] 2053: 15/08/2026 10:45:04 CH: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:53:43] [SUCCESS] 2053: 15/08/2026 10:53:41 CH: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:08:48] [SUCCESS] 2053: 15/08/2026 11:08:46 CH: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:20:42] [SUCCESS] 2053: 15/08/2026 11:20:40 CH: Tổng record đã thêm: 11 | TABLE: PhieuXuatNhap | CITY_CODE: ALL | MADUAN:CD43
