[2026-08-15 00:07:40] [SUCCESS] 2014: 15/08/2026 12:07:38 SA: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:17:24] [SUCCESS] 2014: 15/08/2026 12:17:22 SA: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:25:48] [SUCCESS] 2014: 15/08/2026 12:25:47 SA: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 00:46:25] [SUCCESS] 2014: 15/08/2026 12:46:23 SA: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:20:19] [SUCCESS] 2014: 15/08/2026 10:20:17 CH: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:41:14] [SUCCESS] 2014: 15/08/2026 10:41:13 CH: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:45:07] [SUCCESS] 2014: 15/08/2026 10:45:05 CH: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 22:53:40] [SUCCESS] 2014: 15/08/2026 10:53:39 CH: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:08:44] [SUCCESS] 2014: 15/08/2026 11:08:42 CH: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
[2026-08-15 23:20:37] [SUCCESS] 2014: 15/08/2026 11:20:35 CH: Tổng record đã thêm: 753 | TABLE: CD43_KHACH_HANG_SANG_LOC_HIV | CITY_CODE: ALL | MADUAN:CD43
